country,count,lat,lng,code
Andorra,1,42.5078,1.5211,AD
Austria,1865,47.5162,14.5501,AT
Belgium,3298,50.8503,4.3517,BE
Bulgaria,411,42.7339,25.4858,BG
Croatia,351,45.1,15.2,HR
Cyprus,621,35.1264,33.4299,CY
Czech Republic,982,49.8175,15.473,CZ
Denmark,1744,55.6761,12.5683,DK
Estonia,512,58.5953,25.0136,EE
Finland,1474,61.9241,25.7482,FI
France,4402,46.6034,1.8883,FR
Germany,5784,51.1657,10.4515,DE
Greece,2085,39.0742,21.8243,EL
Hungary,585,47.1625,19.5033,HU
Iceland,114,64.9631,-19.0208,IS
Ireland,1341,53.1424,-7.6921,IE
Italy,4588,41.8719,12.5674,IT
Kosovo,14,42.6026,20.902,XK
Latvia,279,56.8796,24.6032,LV
Liechtenstein,4,47.1415,9.5215,LI
Lithuania,404,55.1694,23.8813,LT
Luxembourg,365,49.6117,6.13,LU
Malta,149,35.9375,14.3754,MT
Moldova,56,47.0105,28.8575,MD
Monaco,4,43.7333,7.4167,MC
Montenegro,24,42.7087,19.3744,ME
Netherlands,3657,52.3784,4.9009,NL
North Macedonia,61,41.6086,21.7453,MK
Norway,1434,60.472,8.4689,NO
Poland,1262,51.9194,19.1451,PL
Portugal,1694,39.3999,-8.2245,PT
Romania,712,45.9432,24.9668,RO
Serbia,346,44.0165,21.0059,RS
Slovakia,332,48.669,19.699,SK
Slovenia,736,46.1511,14.9955,SI
Spain,4853,40.4637,-3.7492,ES
Sweden,1916,60.1282,18.6435,SE
Switzerland,1595,46.8182,8.2275,CH
Ukraine,225,48.3794,31.1656,UA
United Kingdom,2583,55.3781,-3.436,UK
Vatican City,1,41.9029,12.4534,VA
