Index,topic,title,totalCost,ecMaxContribution
1,EURATOM-2021-ADHOC-IBA,Euratom-Adhoc-2021-2027,1000990681.7,549442000.0
2,ERC-2021-STG,ERC STARTING GRANTS,730369662.5,730357155.0
3,ERC-2024-STG,ERC STARTING GRANTS,717442600.7,717440199.24
4,HORIZON-EIC-2022-ACCELERATOROPEN-01,EIC Accelerator Open,690326025.82,337320410.19
5,ERC-2022-COG,ERC CONSOLIDATOR GRANTS,658494689.75,658464227.25
6,ERC-2023-ADG,ERC ADVANCED GRANTS,647924424.69,647401012.44
7,ERC-2021-COG,ERC CONSOLIDATOR GRANTS,641375840.8,641305092.39
8,ERC-2022-STG,ERC STARTING GRANTS,637411094.79,637314602.09
9,ERC-2023-STG,ERC STARTING GRANTS,628269466.12,627936425.12
10,ERC-2021-ADG,ERC ADVANCED GRANTS,624929516.93,624846845.18
11,ERC-2023-COG,ERC CONSOLIDATOR GRANTS,622829640.19,622824638.34
12,HORIZON-CL5-2021-D3-01-04,Clean Energy Transition,561150162.21,136317392.84
13,HORIZON-JU-Chips-2023-RIA-CPL-1,Pilot line on advanced sub 2nm leading-edge system on chip technology,551778479.0,448006739.89
14,ERC-2022-ADG,ERC ADVANCED GRANTS,540964529.64,540964526.69
15,HORIZON-EIE-2021-INNOVSMES-01-01,European Partnership on Innovative SMEs,537564179.75,142112603.26
16,HORIZON-EIC-2023-ACCELERATOROPEN-01,EIC Accelerator Open 2023,497527701.87,299709635.24
17,HORIZON-JU-Chips-2023-RIA-CPL-2,Pilot line on advanced Fully Depleted Silicon On Insulator technologies targeting 7nm,433622083.0,216811041.5
18,HORIZON-KDT-JU-2021-1-IA,HORIZON-KDT-JU-2021-1-IA,409548154.84000003,103985921.05
19,HORIZON-HLTH-2021-ENVHLTH-03-01,European partnership for the assessment of risks from chemicals (PARC),400000000.0,200000000.0
20,ERC-2023-SyG,ERC Synergy Grants,389745880.75,388603095.25
21,HORIZON-EIC-2021-ACCELERATOROPEN-01,EIC Accelerator Open 2021,379048237.74,175449668.42
22,HORIZON-JTI-CLEANH2-2022-06-01,Hydrogen Valleys (large-scale),378561988.43,49995656.69
23,HORIZON-KDT-JU-2023-1-IA-Topic-1,General according to ECS-SRIA 2022 (IA),364582467.86,93070209.17
24,HORIZON-CL6-2021-BIODIV-02-01,European partnership rescuing biodiversity to safeguard life on Earth,354589990.7,105000000.0
25,HORIZON-HLTH-2023-CARE-08-01,European Partnership on Personalised Medicine,340251551.26,100575465.38
26,ERC-2022-SyG,ERC Synergy Grants,337340402.0,337340401.25
27,HORIZON-HLTH-2022-CARE-10-01,European partnership on transforming health and care systems,305248586.69,91574573.0
28,HORIZON-KDT-JU-2023-2-RIA-Topic-1,Global call according to SRIA 2023 (RIA),284793423.07,89334092.73
29,HORIZON-KDT-JU-2022-1-IA-Topic-1,General according to ECS-SRIA 2022 (IA),264765505.82999998,65890031.230000004
30,ERC-2024-SyG,ERC SYNERGY GRANTS,248426929.0,248426929.0
31,HORIZON-JU-CLEAN-AVIATION-2022-01-SMR-01,Ultra Efficient Propulsion Systems for Short and Short-Medium Range Aircraft,242704534.87,178407907.9
32,HORIZON-EIT-2023-25-KIC-EITFOOD,EIT Food Business Plan 2023-2025,211411004.99,211411004.99
33,HORIZON-EIC-2022-PATHFINDEROPEN-01-01,EIC Pathfinder Open 2022,203935604.57,203833510.11
34,HORIZON-JTI-CLEANH2-2023-06-01,Large-scale Hydrogen Valley,200255979.99,19996911.75
35,HORIZON-WIDERA-2022-ACCESS-01-01-two-stage,Teaming for Excellence,199095132.5,199095132.5
36,HORIZON-JU-Chips-2023-RIA-CPL-3,Pilot line on advanced Packaging and Heterogenous Integration,192423096.69,96211548.36
37,HORIZON-JTI-CLEANH2-2022-06-02,Hydrogen Valleys (small-scale),189237738.69,55019746.66
38,HORIZON-EIC-2021-PATHFINDEROPEN-01-01,EIC Pathfinder Open 2021,182682533.0,182682529.06
39,HORIZON-EIC-2023-PATHFINDEROPEN-01-01,EIC Pathfinder Open,179128307.13,178967907.51
40,HORIZON-CL5-2021-D2-01-16,Co-Funded Partnership: Driving Urban Transitions to a sustainable future (DUT),177266253.99,37000000.0
41,HORIZON-KDT-JU-2022-2-RIA-Topic-1,General according to ECS-SRIA 2022 (RIA),175528564.59,54761549.58
42,HORIZON-EIT-2023-25-KIC-EITRAWMATERIALS,EIT Raw Materials Business Plan 2023-2025,170517769.0,170517769.0
43,ERC-2024-COG,ERC CONSOLIDATOR GRANTS,165274691.75,165274690.25
44,HORIZON-EIT-2023-25-KIC-EITHEALTH,EIT Health Business Plan 2023-2025,160024833.91,160024833.85
45,HORIZON-WIDERA-2023-ACCESS-01-01-two-stage,Teaming for Excellence,155397295.0,155397294.5
46,HORIZON-WIDERA-2021-COST-SGA,Implementation of COST actions - Specific Grant under Framework Partnership Agreement,153000000.0,153000000.0
47,HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02,Green Deal innovations for the Economic Recovery,150112280.47,103482184.82
48,HORIZON-HLTH-2023-DISEASE-07-01,European Partnership on Rare Diseases,145830619.47,56317412.61
49,HORIZON-WIDERA-2021-ACCESS-03-01,Twinning,145582855.96,145287310.42
50,HORIZON-CL4-2023-SSA-SST-SP-ART195,HORIZON-CL4-SSA-SST-SP - SST Sensors and Processing,141642752.91,25000000.0
51,HORIZON-EIT-2023-25-KIC-EITURBANMOBILITY,EIT Urban Mobility Business Plan 2023-2025,141219766.48,141219766.48
52,HORIZON-JU-CLEAN-AVIATION-2022-01-HPA-01,Direct Combustion of Hydrogen in Aero-engines,139740441.70000002,102165880.19
53,HORIZON-EIC-2022-ACCELERATORCHALLENGES-01,EIC Accelerator Challenge: Technologies for Open Strategic Autonomy,134700459.66,77271081.11
54,HORIZON-INFRA-2023-SERV-01-01,Research infrastructure services to enable R&I addressing main challenges and EU priorities,125311982.92,125311982.36
55,HORIZON-INFRA-2022-TECH-01-01,"R&D for the next generation of scientific instrumentation, tools and methods",124708409.62,124464742.11
56,HORIZON-MISS-2022-CLIMA-01-06,"Testing and demonstrating transformative solutions on climate resilience, mainstreaming nature based solutions in the systemic transformation",120453502.84,114354818.17
