,projectID,topic,title
0,101116741,ERC-2023-STG,ERC STARTING GRANTS
1,101163161,ERC-2024-SyG,ERC SYNERGY GRANTS
2,101160499,ERC-2024-STG,ERC STARTING GRANTS
3,101166905,ERC-2024-SyG,ERC SYNERGY GRANTS
4,101162875,ERC-2024-STG,ERC STARTING GRANTS
5,101167314,ERC-2024-SyG,ERC SYNERGY GRANTS
6,101165261,ERC-2024-STG,ERC STARTING GRANTS
7,101072693,EURATOM-2021-UKRAINE-TRAINING-INFO-IBA,Training and information actions to integrate Ukrainian research entities into European nuclear research networks
8,101172406,EURATOM-2023-EURADWASTE-IBA,FISA 2025 – EURADWASTE’25 conferences on Euratom fission research and training (Presidency event)
9,101114128,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
10,101114412,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
11,101114020,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
12,101114248,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
13,101052410,HORIZON-WIDERA-2021-EUCYS-IBA,European Union Contest for Young Scientists (EUCYS) 2022
14,101172981,HORIZON-WIDERA-2024-EUCYS-IBA,European Union Contest for Young Scientists (EUCYS) 2024
15,101157697,HORIZON-WIDERA-2023-ERA-GIB-02,Support to the further operation of cOAlition S
16,101146726,HORIZON-WIDERA-2023-ESOF-IBA,European Science in the City next generation
17,101124648,HORIZON-WIDERA-2023-RESAVER-IBA,Support to Retirement Savings Vehicle for European Research Institutions and research performing individuals (RESAVER)
18,101146604,HORIZON-WIDERA-2023-EU-CECR-IBA,European Union Contest for early-career researchers
19,101054755,HORIZON-WIDERA-2021-ERA-IBA,Support the Slovenian Presidency for the organization of an ERA Conference
20,101131799,HORIZON-WIDERA-2023-ERA-01-03,Experimentation and exchange of good practices for value creation
21,101052247,HORIZON-WIDERA-2021-ESOF-IBA,The EuroScience Open Forum (ESOF) and European City of Science 2022 actions
22,101056649,HORIZON-WIDERA-2021-RESAVER-IBA,Support to RESAVER Pension Fund
23,101123904,HORIZON-WIDERA-2023-EUCYS-IBA,European Union Contest for Young Scientists (EUCYS) 2023
24,101113277,HORIZON-EIT-2023-24-KIC-EITCLIMATEKIC,EIT Climate-KIC Business Plan 2023-2024
25,101113201,HORIZON-EIT-2023-25-Cross-KIC-Strategic-Outreach,EIT Cross-KIC Strategic Outreach
26,101113245,HORIZON-EIT-2023-24-KIC-EITDIGITAL,EIT Digital Business Plan 2023-2024
27,101071749,HORIZON-EIE-2021-SCALEUP-01-03,Women TechEU
28,101071876,HORIZON-EIE-2021-SCALEUP-01-03,Women TechEU
29,101113634,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
30,101177609,HORIZON-INFRA-2024-BE-CONF-ART195-IBA,Belgian Presidency conference on research infrastructures
31,101114214,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
32,101148217,HORIZON-INFRA-2023-EOSC-MONIT-IBA,Implementation of the EOSC monitoring mechanism
33,101114169,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
34,101071680,HORIZON-EIE-2021-SCALEUP-01-03,Women TechEU
35,101100432,HORIZON-EIE-2022-SCALEUP-01-01,Expanding Entrepreneurial Ecosystems
36,101096195,HORIZON-EIE-2022-CONNECT-01-01,Towards more inclusive networks and initiatives in European innovation ecosystems
37,101072248,HORIZON-EIE-2021-SCALEUP-01-01,Expanding Acceleration Ecosystems 
38,101134907,HORIZON-EIE-2023-CONNECT-01-02,Preparatory action for setting up joint programmes among innovation ecosystems actors
39,101070806,HORIZON-EIE-2021-CONNECT-01-01,Preparatory action for setting up joint programmes among innovation ecosystems actors
40,101070768,HORIZON-EIE-2021-CONNECT-01-01,Preparatory action for setting up joint programmes among innovation ecosystems actors
41,101095910,HORIZON-EIE-2022-CONNECT-01-02,Integration of social innovation actors in innovation ecosystems
42,101070737,HORIZON-EIE-2021-CONNECT-01-01,Preparatory action for setting up joint programmes among innovation ecosystems actors
43,101096775,HORIZON-EIE-2022-CONNECT-01-01,Towards more inclusive networks and initiatives in European innovation ecosystems
44,101134349,HORIZON-EIE-2023-CONNECT-01-02,Preparatory action for setting up joint programmes among innovation ecosystems actors
45,101070745,HORIZON-EIE-2021-CONNECT-01-02,Building capabilities in innovation procurement
46,101070847,HORIZON-EIE-2021-CONNECT-01-01,Preparatory action for setting up joint programmes among innovation ecosystems actors
47,101114167,HORIZON-EIE-2022-SCALEUP-02-01,Expanding Investments Ecosystems
48,101096390,HORIZON-EIE-2022-CONNECT-01-02,Integration of social innovation actors in innovation ecosystems
49,101096746,HORIZON-EIE-2022-CONNECT-01-01,Towards more inclusive networks and initiatives in European innovation ecosystems
50,101072092,HORIZON-EIE-2021-SCALEUP-01-01,Expanding Acceleration Ecosystems 
51,101113669,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
52,101134912,HORIZON-EIE-2023-CONNECT-01-02,Preparatory action for setting up joint programmes among innovation ecosystems actors
53,101086099,HORIZON-INFRA-2021-NET-01-SGA-2,SGA for investments on International connectivity and collaboration
54,101071418,HORIZON-EIE-2021-SCALEUP-01-03,Women TechEU
55,101113295,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
56,101113904,HORIZON-EIE-2022-SCALEUP-02-02,Women TechEU
57,101134321,HORIZON-EIE-2023-CONNECT-01-02,Preparatory action for setting up joint programmes among innovation ecosystems actors
58,101124525,HORIZON-INFRA-2023-SE-CONF-ART195-IBA,Swedish Presidency conference on Research Infrastructures 2023
